# Average and Max distance between SNPs on every chromosome
# Calculated with
awk 'BEGIN{C="";P=-1;M=0;T=0.0;N=0;} /^#/{next} {if(C==$1) {L=int($2)-P;T+=L;N++;M=(M>L?M:L);}C=$1;P=int($2);}END{if(N>0) printf("avg=%f max=%d\n",T/N,M);}' myfile.vcf
Chromosome	Mean Distance	Max Distance
01	242.488755	88933
02	208.642863	61529
03	215.664684	40935
04	220.872987	67274
05	209.693524	55881
06	233.484642	47451	
07	263.315123	56453
08	206.704975	38750
09	241.662110	56008
10	196.386230	52995
11	229.328328	61328
12	225.738392	58407
13	223.539243	125371
14	193.631511	45815
15	234.893560	61545
16	223.889159	51935
17	254.057686	38392
18	218.342178	64460
19	215.990957	68530
20	276.401291	38375
21	207.987873	48573
22	104.140074	102142
23	206.288608	62838
24	216.574633	40420
25	216.778919	88847
26	189.950303	44519
27	195.069351	76293
28	234.138758	80031
29	231.699060	40490
30	214.367253	40395
31	210.277736	38872
32	161.592630	39543
33	199.207800	109842
34	201.715326	42061
35	251.415723	82015
36	211.313514	41891
37	165.566390	52426
38	140.632993	66305
39	172.898607	59939
40	322.439750	35187
all	208.154574	125371
